Animal_ID,Timestamp,temp_without_drink_cycles,animal_activity
11593,2018-07-08 04:03:00,39.91,3.66
2719,2018-07-08 04:04:00,40.43,7.25
9659,2018-07-08 04:07:00,40.16,5.05
11552,2018-07-08 04:08:00,39.91,4.16
11586,2018-07-08 04:11:00,39.94,3.02
11381,2018-07-08 04:12:00,39.31,4.87
4382,2018-07-08 04:12:00,39.25,10.78
4380,2018-07-08 04:12:00,40.12,1.36
11587,2018-07-08 04:13:00,40.12,4.06
11593,2018-07-08 04:13:00,40.06,3.68
2719,2018-07-08 04:14:00,40.43,6.29
9659,2018-07-08 04:17:00,40.16,2.30
11552,2018-07-08 04:18:00,40.00,4.23
11586,2018-07-08 04:21:00,40.00,5.23
4382,2018-07-08 04:22:00,39.25,6.84
11381,2018-07-08 04:22:00,39.31,5.21
4380,2018-07-08 04:22:00,40.12,2.88
11593,2018-07-08 04:23:00,40.19,3.70
11587,2018-07-08 04:23:00,40.12,4.98
2719,2018-07-08 04:24:00,40.43,5.87
9659,2018-07-08 04:27:00,40.16,3.68
11552,2018-07-08 04:28:00,40.00,3.94
11586,2018-07-08 04:31:00,40.00,5.91
4380,2018-07-08 04:32:00,40.12,2.38
4382,2018-07-08 04:32:00,39.19,3.04
11381,2018-07-08 04:32:00,39.28,3.62
11587,2018-07-08 04:33:00,40.10,6.68
11593,2018-07-08 04:33:00,40.28,4.42
2719,2018-07-08 04:34:00,40.43,6.11
9659,2018-07-08 04:37:00,40.07,3.39
11552,2018-07-08 04:38:00,40.00,3.01
11586,2018-07-08 04:41:00,39.92,5.92
4382,2018-07-08 04:42:00,39.16,3.41
4380,2018-07-08 04:42:00,40.12,2.66
11381,2018-07-08 04:42:00,39.28,3.46
11587,2018-07-08 04:43:00,40.01,11.56
11593,2018-07-08 04:43:00,40.34,4.70
2719,2018-07-08 04:44:00,40.43,5.72
9659,2018-07-08 04:47:00,39.99,3.89
11552,2018-07-08 04:48:00,40.12,2.34
11586,2018-07-08 04:51:00,39.91,5.21
4380,2018-07-08 04:52:00,40.12,2.30
4382,2018-07-08 04:52:00,39.16,8.97
11381,2018-07-08 04:52:00,39.28,4.31
11593,2018-07-08 04:53:00,40.34,4.12
11587,2018-07-08 04:53:00,39.93,9.57
2719,2018-07-08 04:54:00,40.40,6.86
9659,2018-07-08 04:57:00,39.91,3.42
11552,2018-07-08 04:58:00,40.25,2.68
11586,2018-07-08 05:01:00,39.94,4.47
4382,2018-07-08 05:02:00,39.19,9.74
11381,2018-07-08 05:02:00,39.37,7.44
4380,2018-07-08 05:02:00,40.12,2.79
11587,2018-07-08 05:03:00,39.84,7.27
11593,2018-07-08 05:03:00,40.34,5.57
2719,2018-07-08 05:04:00,40.40,8.62
9659,2018-07-08 05:07:00,39.82,2.23
11552,2018-07-08 05:08:00,40.37,3.43
11586,2018-07-08 05:11:00,40.00,5.42
4380,2018-07-08 05:12:00,40.12,3.12
11381,2018-07-08 05:12:00,39.37,5.40
4382,2018-07-08 05:12:00,39.19,7.17
11587,2018-07-08 05:13:00,39.76,9.51
11593,2018-07-08 05:13:00,40.34,5.69
2719,2018-07-08 05:14:00,40.37,3.12
9659,2018-07-08 05:17:00,39.74,2.34
11552,2018-07-08 05:18:00,40.40,4.19
11586,2018-07-08 05:21:00,40.12,4.11
4380,2018-07-08 05:22:00,40.12,3.33
11381,2018-07-08 05:22:00,39.29,8.18
4382,2018-07-08 05:22:00,39.19,3.97
11587,2018-07-08 05:23:00,39.68,5.56
11593,2018-07-08 05:23:00,40.28,7.47
2719,2018-07-08 05:24:00,40.37,6.17
9659,2018-07-08 05:27:00,39.73,2.76
11552,2018-07-08 05:28:00,40.40,3.39
11586,2018-07-08 05:31:00,40.12,5.89
4380,2018-07-08 05:32:00,40.06,1.35
11381,2018-07-08 05:32:00,39.20,3.66
4382,2018-07-08 05:32:00,39.25,5.21
11593,2018-07-08 05:33:00,40.19,5.63
11587,2018-07-08 05:33:00,39.67,5.33
2719,2018-07-08 05:34:00,40.34,6.00
9659,2018-07-08 05:37:00,39.73,1.68
11552,2018-07-08 05:38:00,40.40,2.94
11586,2018-07-08 05:41:00,40.04,5.17
4380,2018-07-08 05:42:00,40.03,2.73
11381,2018-07-08 05:42:00,39.12,2.15
4382,2018-07-08 05:42:00,39.25,3.59
11587,2018-07-08 05:43:00,39.70,6.36
11593,2018-07-08 05:43:00,40.11,6.55
2719,2018-07-08 05:44:00,40.34,5.11
9659,2018-07-08 05:47:00,39.73,2.50
11552,2018-07-08 05:48:00,40.43,2.35
11586,2018-07-08 05:51:00,39.96,7.21
11381,2018-07-08 05:52:00,39.04,6.42
4380,2018-07-08 05:52:00,40.03,3.02
4382,2018-07-08 05:52:00,39.22,6.53
11587,2018-07-08 05:53:00,39.73,5.13
11593,2018-07-08 05:53:00,40.03,6.43
2719,2018-07-08 05:54:00,40.26,5.74
9659,2018-07-08 05:57:00,39.73,3.34
11552,2018-07-08 05:58:00,40.43,6.30
11586,2018-07-08 06:01:00,39.87,6.84
4380,2018-07-08 06:02:00,40.06,2.80
4382,2018-07-08 06:02:00,39.16,6.72
11381,2018-07-08 06:02:00,39.04,4.58
11587,2018-07-08 06:03:00,39.82,6.58
11593,2018-07-08 06:03:00,39.94,6.17
2719,2018-07-08 06:04:00,40.17,5.04
9659,2018-07-08 06:07:00,39.67,2.56
11552,2018-07-08 06:08:00,40.35,8.54
11586,2018-07-08 06:11:00,39.79,6.45
11381,2018-07-08 06:12:00,39.10,5.81
4380,2018-07-08 06:12:00,40.12,2.48
4382,2018-07-08 06:12:00,39.16,4.43
11593,2018-07-08 06:13:00,39.86,4.46
11587,2018-07-08 06:13:00,39.91,8.16
2719,2018-07-08 06:14:00,40.12,5.64
9659,2018-07-08 06:17:00,39.67,2.41
11552,2018-07-08 06:18:00,40.26,4.81
11586,2018-07-08 06:21:00,39.71,6.37
11381,2018-07-08 06:22:00,39.10,6.36
4382,2018-07-08 06:22:00,39.16,3.98
4380,2018-07-08 06:22:00,40.19,2.79
11587,2018-07-08 06:23:00,39.94,7.92
11593,2018-07-08 06:23:00,39.78,4.61
2719,2018-07-08 06:24:00,40.06,5.49
9659,2018-07-08 06:27:00,39.76,2.37
11552,2018-07-08 06:28:00,40.18,4.12
11586,2018-07-08 06:31:00,39.62,5.11
11381,2018-07-08 06:32:00,39.19,6.33
4380,2018-07-08 06:32:00,40.25,2.74
4382,2018-07-08 06:32:00,39.25,4.56
11593,2018-07-08 06:33:00,39.69,3.36
11587,2018-07-08 06:33:00,39.94,4.63
2719,2018-07-08 06:34:00,40.00,2.02
9659,2018-07-08 06:37:00,39.82,3.19
11552,2018-07-08 06:38:00,40.10,2.95
11586,2018-07-08 06:41:00,39.58,5.22
11381,2018-07-08 06:42:00,39.19,11.33
4380,2018-07-08 06:42:00,40.28,2.78
4382,2018-07-08 06:42:00,39.31,3.96
11593,2018-07-08 06:43:00,39.61,4.14
11587,2018-07-08 06:43:00,39.94,7.45
2719,2018-07-08 06:44:00,40.00,2.11
9659,2018-07-08 06:47:00,39.82,2.39
11552,2018-07-08 06:48:00,40.01,3.80
11586,2018-07-08 06:51:00,39.58,4.13
4382,2018-07-08 06:52:00,39.31,3.03
11381,2018-07-08 06:52:00,39.19,4.10
4380,2018-07-08 06:52:00,40.34,4.16
11593,2018-07-08 06:53:00,39.53,3.46
11587,2018-07-08 06:53:00,39.94,7.46
2719,2018-07-08 06:54:00,40.00,1.33
9659,2018-07-08 06:57:00,39.74,2.37
11552,2018-07-08 06:58:00,39.93,2.44
11586,2018-07-08 07:01:00,39.58,2.29
11381,2018-07-08 07:02:00,39.16,2.51
4380,2018-07-08 07:02:00,40.34,3.54
4382,2018-07-08 07:02:00,39.31,4.26
11593,2018-07-08 07:03:00,39.46,3.71
11587,2018-07-08 07:03:00,39.91,5.08
2719,2018-07-08 07:04:00,40.00,1.93
9659,2018-07-08 07:07:00,39.66,3.89
11552,2018-07-08 07:08:00,39.85,3.58
11586,2018-07-08 07:11:00,39.61,2.50
4382,2018-07-08 07:12:00,39.31,4.91
4380,2018-07-08 07:12:00,40.26,4.85
11381,2018-07-08 07:12:00,39.07,2.84
11587,2018-07-08 07:13:00,39.88,4.59
11593,2018-07-08 07:13:00,39.46,2.53
2719,2018-07-08 07:14:00,40.03,5.45
9659,2018-07-08 07:17:00,39.64,3.44
11552,2018-07-08 07:18:00,39.91,3.68
11586,2018-07-08 07:21:00,39.70,4.08
4382,2018-07-08 07:22:00,39.31,5.11
11381,2018-07-08 07:22:00,39.01,3.42
4380,2018-07-08 07:22:00,40.17,3.29
11593,2018-07-08 07:23:00,39.61,3.36
11587,2018-07-08 07:23:00,39.88,4.07
2719,2018-07-08 07:24:00,40.03,4.43
9659,2018-07-08 07:27:00,39.76,3.61
11552,2018-07-08 07:28:00,40.00,3.45
11586,2018-07-08 07:31:00,39.79,4.35
4380,2018-07-08 07:32:00,40.09,3.17
11381,2018-07-08 07:32:00,39.01,4.03
4382,2018-07-08 07:32:00,39.31,3.98
11587,2018-07-08 07:33:00,39.94,10.07
11593,2018-07-08 07:33:00,39.79,4.37
2719,2018-07-08 07:34:00,40.12,3.10
9659,2018-07-08 07:37:00,39.79,3.79
11552,2018-07-08 07:38:00,40.12,4.47
11586,2018-07-08 07:41:00,39.85,4.09
4380,2018-07-08 07:42:00,40.01,3.37
4382,2018-07-08 07:42:00,39.28,6.18
11381,2018-07-08 07:42:00,39.16,4.52
11593,2018-07-08 07:43:00,39.88,5.00
11587,2018-07-08 07:43:00,40.00,11.94
2719,2018-07-08 07:44:00,40.19,5.94
9659,2018-07-08 07:47:00,39.79,4.31
11552,2018-07-08 07:48:00,40.12,1.87
11586,2018-07-08 07:51:00,39.85,4.54
4380,2018-07-08 07:52:00,39.92,3.73
4382,2018-07-08 07:52:00,39.28,7.66
11381,2018-07-08 07:52:00,39.25,5.62
11593,2018-07-08 07:53:00,39.91,4.41
11587,2018-07-08 07:53:00,40.00,6.78
2719,2018-07-08 07:54:00,40.22,4.61
9659,2018-07-08 07:57:00,39.79,2.93
11552,2018-07-08 07:58:00,40.06,2.96
11586,2018-07-08 08:01:00,39.85,4.33
4382,2018-07-08 08:02:00,39.25,4.48
4380,2018-07-08 08:02:00,39.84,3.50
11381,2018-07-08 08:02:00,39.28,6.30
11593,2018-07-08 08:03:00,39.91,4.04
11587,2018-07-08 08:03:00,39.92,4.85
2719,2018-07-08 08:04:00,40.25,2.66
9659,2018-07-08 08:07:00,39.79,2.96
11552,2018-07-08 08:08:00,40.06,2.61
11586,2018-07-08 08:11:00,39.85,4.34
4382,2018-07-08 08:12:00,39.25,3.01
11381,2018-07-08 08:12:00,39.28,5.24
4380,2018-07-08 08:12:00,39.76,2.41
11593,2018-07-08 08:13:00,39.97,3.19
11587,2018-07-08 08:13:00,39.84,4.33
2719,2018-07-08 08:14:00,40.28,2.48
9659,2018-07-08 08:17:00,39.88,2.94
11552,2018-07-08 08:18:00,40.06,3.18
11586,2018-07-08 08:21:00,39.82,5.71
4380,2018-07-08 08:22:00,39.67,4.45
4382,2018-07-08 08:22:00,39.22,2.48
11381,2018-07-08 08:22:00,39.28,2.66
11593,2018-07-08 08:23:00,40.03,4.06
11587,2018-07-08 08:23:00,39.75,5.23
2719,2018-07-08 08:24:00,40.31,3.64
9659,2018-07-08 08:27:00,39.97,3.38
11552,2018-07-08 08:28:00,40.10,2.47
11586,2018-07-08 08:31:00,39.82,5.26
11381,2018-07-08 08:32:00,39.22,5.66
4380,2018-07-08 08:32:00,39.59,4.15
4382,2018-07-08 08:32:00,39.22,3.92
11593,2018-07-08 08:33:00,40.12,3.90
11587,2018-07-08 08:33:00,39.67,7.32
2719,2018-07-08 08:34:00,40.37,4.41
9659,2018-07-08 08:37:00,40.00,3.15
11552,2018-07-08 08:38:00,40.10,1.78
11586,2018-07-08 08:41:00,39.82,3.98
11381,2018-07-08 08:42:00,39.22,3.90
4382,2018-07-08 08:42:00,39.22,4.51
4380,2018-07-08 08:42:00,39.51,4.23
11593,2018-07-08 08:43:00,40.22,4.58
11587,2018-07-08 08:43:00,39.59,7.66
2719,2018-07-08 08:44:00,40.40,9.47
9659,2018-07-08 08:47:00,40.00,2.53
11552,2018-07-08 08:48:00,40.10,3.96
11586,2018-07-08 08:51:00,39.88,3.69
4382,2018-07-08 08:52:00,39.25,4.56
4380,2018-07-08 08:52:00,39.42,5.32
11381,2018-07-08 08:52:00,39.31,7.41
11587,2018-07-08 08:53:00,39.55,6.62
11593,2018-07-08 08:53:00,40.22,4.38
2719,2018-07-08 08:54:00,40.40,4.40
9659,2018-07-08 08:57:00,40.06,4.69
11552,2018-07-08 08:58:00,40.10,2.78
11586,2018-07-08 09:01:00,39.94,6.28
11381,2018-07-08 09:02:00,39.31,4.81
4380,2018-07-08 09:02:00,39.49,3.78
4382,2018-07-08 09:02:00,39.25,3.66
11593,2018-07-08 09:03:00,40.22,3.36
11587,2018-07-08 09:03:00,39.55,4.97
2719,2018-07-08 09:04:00,40.37,2.88
9659,2018-07-08 09:07:00,40.06,3.36
11552,2018-07-08 09:08:00,40.10,2.32
11586,2018-07-08 09:11:00,40.00,6.64
4382,2018-07-08 09:12:00,39.25,4.25
11381,2018-07-08 09:12:00,39.28,5.49
4380,2018-07-08 09:12:00,39.58,3.06
11593,2018-07-08 09:13:00,40.16,4.13
11587,2018-07-08 09:13:00,39.58,5.17
2719,2018-07-08 09:14:00,40.34,2.92
9659,2018-07-08 09:17:00,40.00,3.01
11552,2018-07-08 09:18:00,40.12,3.54
11586,2018-07-08 09:21:00,40.00,3.16
4382,2018-07-08 09:22:00,39.22,8.31
11381,2018-07-08 09:22:00,39.25,4.94
4380,2018-07-08 09:22:00,39.70,3.06
11587,2018-07-08 09:23:00,39.61,4.47
11593,2018-07-08 09:23:00,40.10,4.32
2719,2018-07-08 09:24:00,40.28,4.68
9659,2018-07-08 09:27:00,39.94,2.77
11552,2018-07-08 09:28:00,40.16,3.78
11586,2018-07-08 09:31:00,40.00,4.18
4382,2018-07-08 09:32:00,39.22,14.92
4380,2018-07-08 09:32:00,39.82,4.39
11381,2018-07-08 09:32:00,39.22,2.46
11593,2018-07-08 09:33:00,40.10,4.73
11587,2018-07-08 09:33:00,39.70,4.31
2719,2018-07-08 09:34:00,40.28,3.76
9659,2018-07-08 09:37:00,39.88,2.90
11552,2018-07-08 09:38:00,40.25,6.02
11586,2018-07-08 09:41:00,40.00,3.78
4380,2018-07-08 09:42:00,39.82,2.95
11381,2018-07-08 09:42:00,39.22,3.13
4382,2018-07-08 09:42:00,39.28,6.95
11593,2018-07-08 09:43:00,40.10,6.27
11587,2018-07-08 09:43:00,39.79,3.92
2719,2018-07-08 09:44:00,40.28,2.35
9659,2018-07-08 09:47:00,39.85,2.98
11552,2018-07-08 09:48:00,40.25,11.85
11586,2018-07-08 09:51:00,39.92,1.96
11381,2018-07-08 09:52:00,39.22,4.24
4380,2018-07-08 09:52:00,39.76,3.70
4382,2018-07-08 09:52:00,39.34,4.61
11593,2018-07-08 09:53:00,40.10,4.28
11587,2018-07-08 09:53:00,39.85,7.55
2719,2018-07-08 09:54:00,40.22,1.49
9659,2018-07-08 09:57:00,39.82,3.50
11552,2018-07-08 09:58:00,40.16,3.84
11586,2018-07-08 10:01:00,39.88,3.49
4382,2018-07-08 10:02:00,39.37,5.87
11381,2018-07-08 10:02:00,39.22,2.02
4380,2018-07-08 10:02:00,39.76,3.09
11593,2018-07-08 10:03:00,40.10,5.22
11587,2018-07-08 10:03:00,39.85,5.38
2719,2018-07-08 10:04:00,40.19,1.25
9659,2018-07-08 10:07:00,39.82,2.96
11552,2018-07-08 10:08:00,40.08,11.30
11586,2018-07-08 10:11:00,39.88,5.10
4382,2018-07-08 10:12:00,39.43,5.07
4380,2018-07-08 10:12:00,39.76,3.95
11381,2018-07-08 10:12:00,39.22,2.22
11593,2018-07-08 10:13:00,40.03,3.57
11587,2018-07-08 10:13:00,39.85,5.97
2719,2018-07-08 10:14:00,40.19,1.96
9659,2018-07-08 10:17:00,39.85,4.58
11552,2018-07-08 10:18:00,40.00,4.68
11586,2018-07-08 10:21:00,40.00,4.28
4380,2018-07-08 10:22:00,39.82,3.49
11381,2018-07-08 10:22:00,39.22,4.38
4382,2018-07-08 10:22:00,39.52,3.15
11587,2018-07-08 10:23:00,39.85,4.98
11593,2018-07-08 10:23:00,40.03,3.16
2719,2018-07-08 10:24:00,40.16,5.51
9659,2018-07-08 10:27:00,39.88,4.57
11552,2018-07-08 10:28:00,39.91,5.59
11586,2018-07-08 10:31:00,40.00,4.52
4380,2018-07-08 10:32:00,39.91,2.35
4382,2018-07-08 10:32:00,39.58,4.46
11381,2018-07-08 10:32:00,39.22,3.32
11587,2018-07-08 10:33:00,39.85,5.19
11593,2018-07-08 10:33:00,40.00,3.30
2719,2018-07-08 10:34:00,40.07,3.83
9659,2018-07-08 10:37:00,39.85,3.91
11552,2018-07-08 10:38:00,39.83,5.28
11586,2018-07-08 10:41:00,40.00,2.30
4382,2018-07-08 10:42:00,39.58,5.33
11381,2018-07-08 10:42:00,39.22,2.50
4380,2018-07-08 10:42:00,39.97,2.49
